s,name,cname
http://example.com/heritage/id/1000054w,Zisa Castle,Italy
http://example.com/heritage/id/100329356w,Babylon,Iraq
http://example.com/heritage/id/1006702w,ADGB Trade Union School,Germany
http://example.com/heritage/id/1010268w,Basilica of St. Sernin,France
http://example.com/heritage/id/1010335w,Burkhan Khaldun,Mongolia
http://example.com/heritage/id/1012965w,Redecilla del Camino,Spain
http://example.com/heritage/id/1013209w,Nakagusuku Castle,Japan
http://example.com/heritage/id/1013353w,El Torcal de Antequera,Spain
http://example.com/heritage/id/1013399w,Imperial Villa Nijō Castle,Japan
http://example.com/heritage/id/1013468w,Kaymaklı Underground City,Turkey
http://example.com/heritage/id/1015090w,Castrum Burginatium,Germany
http://example.com/heritage/id/1015194w,Roluos,Cambodia
http://example.com/heritage/id/1018661w,Bystrinsky Nature Park,Russia
http://example.com/heritage/id/1018764w,Byzantine Bath,Greece
http://example.com/heritage/id/1024723w,Monastery of San Pedro de Cardeña,Spain
http://example.com/heritage/id/1025100w,Ayutthaya Historical Park,Thailand
http://example.com/heritage/id/1025339w,Gulangyu,People's Republic of China
http://example.com/heritage/id/1025354w,Grand Hornu,Belgium
http://example.com/heritage/id/1025825w,Shahr-e Sukhteh,Iran
http://example.com/heritage/id/1026415w,Vecrīga,Latvia
http://example.com/heritage/id/1026845w,Gammelstaden,Sweden
http://example.com/heritage/id/1026971w,Yateras,Cuba
http://example.com/heritage/id/1026982w,El Salvador,Cuba
http://example.com/heritage/id/1026991w,Niceto Pérez,Cuba
http://example.com/heritage/id/10283837w,Nossa Senhora da Graça Fort,Portugal
http://example.com/heritage/id/10283905w,Forte de Santa Luzia,Portugal
http://example.com/heritage/id/1028566w,Pura Taman Ayun,Indonesia
http://example.com/heritage/id/10288w,Parthenon,Greece
http://example.com/heritage/id/10293286w,Genoa: Le Strade Nuove and the system of the Palazzi dei Rolli,Italy
http://example.com/heritage/id/10300241w,"Collegiate Church, Castle, and Old Town of Quedlinburg",Germany
http://example.com/heritage/id/1033019w,Hallstatt-Dachstein Salzkammergut cultural landscape,Austria
http://example.com/heritage/id/1034179w,Chagres and Fort San Lorenzo,Panama
http://example.com/heritage/id/10344038w,Palace of Westminster and Westminster Abbey including Saint Margaret's Church,United Kingdom
http://example.com/heritage/id/10344996w,Intervales State Park,Brazil
http://example.com/heritage/id/10345245w,Discovery National Park,Brazil
http://example.com/heritage/id/10345249w,Monte Pascoal National Park,Brazil
http://example.com/heritage/id/10351991w,"Portovenere, Cinque Terre, and the Islands (Palmaria, Tino and Tinetto)",Italy
http://example.com/heritage/id/1036938w,Mount Yoshino,Japan
http://example.com/heritage/id/1038473w,Temple and Cemetery of Confucius and the Kong Family Mansion in Qufu,People's Republic of China
http://example.com/heritage/id/10428494w,Hill Forts of Rajasthan,India
http://example.com/heritage/id/10444176w,"The Causses and the Cévennes, Mediterranean agro-pastoral Cultural Landscape",France
http://example.com/heritage/id/1046294w,Korgalzhyn Nature Reserve,Kazakhstan
http://example.com/heritage/id/1046403w,Tō-ji,Japan
http://example.com/heritage/id/1046414w,Luis Barragán House and Studio,Mexico
http://example.com/heritage/id/1046818w,Chengde Mountain Resort and its outlying temples,People's Republic of China
http://example.com/heritage/id/1046891w,Cascades Female Factory,Australia
http://example.com/heritage/id/1047061w,Giant Wild Goose Pagoda,People's Republic of China
http://example.com/heritage/id/1048112w,Humor Monastery,Romania
http://example.com/heritage/id/1048381w,Shanhai Pass,People's Republic of China
http://example.com/heritage/id/10487604w,Erik-Anders,Sweden
http://example.com/heritage/id/1049270w,Ponferrada Castle,Spain
http://example.com/heritage/id/1049301w,Grand Béguinage of Leuven,Belgium
http://example.com/heritage/id/1049348w,Auch Cathedral,France
http://example.com/heritage/id/1049579w,Béguinage of Hoogstraten,Belgium
http://example.com/heritage/id/10500933w,Fågelsjö Gammelgård,Sweden
http://example.com/heritage/id/1050324w,Monastery of Saint Euthymius,Russia
http://example.com/heritage/id/10508756w,Gribskov,Denmark
http://example.com/heritage/id/10512403w,Gästgivars,Sweden
http://example.com/heritage/id/105136101w,Chehel Sotun Garden,Iran
http://example.com/heritage/id/1051458w,Church of the Intercession on the Nerl,Russia
http://example.com/heritage/id/10532185w,High Coast/Kvarken Archipelago,Finland
http://example.com/heritage/id/10532185w,High Coast/Kvarken Archipelago,Sweden
http://example.com/heritage/id/1053521w,Mausoleum of Centcelles,Spain
http://example.com/heritage/id/1053880w,Central Island,Kenya
http://example.com/heritage/id/10540737w,Jon-Lars,Sweden
http://example.com/heritage/id/1055749w,Historic Monuments of Ancient Nara,Japan
http://example.com/heritage/id/105973249w,Old Town of Ghadamès,Libya
http://example.com/heritage/id/1061531w,University City of Caracas,Venezuela
http://example.com/heritage/id/106187w,Giant's Causeway,United Kingdom
http://example.com/heritage/id/10620357w,Par force hunting landscape in North Zealand,Denmark
http://example.com/heritage/id/1062150w,Changu Narayan Temple,Nepal
http://example.com/heritage/id/1062357w,Chankillo,Peru
http://example.com/heritage/id/10624826w,Perävaara,Sweden
http://example.com/heritage/id/1063133w,Shrines and Temples of Nikkō,Japan
http://example.com/heritage/id/1064331w,Tarxien Temples,Malta
http://example.com/heritage/id/1064830w,Hagi Castle,Japan
http://example.com/heritage/id/106540w,Rwenzori Mountains,Uganda
http://example.com/heritage/id/106576680w,House at 12 Hilario Pérez street,Spain
http://example.com/heritage/id/106580785w,Church of Saint Peter,Spain
http://example.com/heritage/id/106580786w,Hermitage of Piedad,Spain
http://example.com/heritage/id/106580787w,"House at 1 Pisuerga street, Itero de la Vega",Spain
http://example.com/heritage/id/106581046w,Church of the Assumption,Spain
http://example.com/heritage/id/106581047w,Hermitage of Virgen de la Vega,Spain
http://example.com/heritage/id/106581048w,"House at 9 Santa María street, Melgar de Yuso",Spain
http://example.com/heritage/id/106581264w,Typical granary in Boadilla del Camino,Spain
http://example.com/heritage/id/106582835w,Church of Saint Peter,Spain
http://example.com/heritage/id/106582909w,Chapel of Our Lady of El Otero,Spain
http://example.com/heritage/id/106583039w,Pilgrims' Hospital,Spain
http://example.com/heritage/id/106583260w,Town Hall of Frómista,Spain
http://example.com/heritage/id/106590080w,Old Chapel of Brotherhood,Spain
http://example.com/heritage/id/106590081w,"Dwelling next to the railway, Frómista",Spain
http://example.com/heritage/id/106590082w,"5, Ingeniero Rivera street house",Spain
http://example.com/heritage/id/106590084w,"House at 6 Magistral Aguado, Frómista",Spain
http://example.com/heritage/id/106590085w,"House at 4 Pozuelo street, Frómista",Spain
http://example.com/heritage/id/106590086w,"Magistral Aguado and Hospital streets house, Frómista",Spain
http://example.com/heritage/id/106590088w,"House next to the castle, Frómista",Spain
http://example.com/heritage/id/106592095w,"Church of Saint Mary Magdalene, Población de Campos",Spain
http://example.com/heritage/id/106592096w,"Chapel of Our Lady of Perpetual Help, Población de Campos",Spain
http://example.com/heritage/id/106592097w,"Chapel of Saint Michael, Población de Campos",Spain
http://example.com/heritage/id/106594050w,House at the corner of Ontana and Fuentelugar streets,Spain
http://example.com/heritage/id/106594051w,"House with coat of arms, Población de Campos",Spain
http://example.com/heritage/id/106594052w,Veracruz house,Spain
http://example.com/heritage/id/106594053w,"House at 7-9 Constitución street, Población de Campos",Spain
http://example.com/heritage/id/106594054w,Typical granary in Población de Campos,Spain
http://example.com/heritage/id/106594301w,Church of Saint Lawrence,Spain
http://example.com/heritage/id/106594302w,"Building at 1-2 General Amor square, Revenga de Campos",Spain
http://example.com/heritage/id/106594303w,"Building at 4 Francesa street, Revenga de Campos",Spain
http://example.com/heritage/id/106594304w,"Building at 22 Francesa street, Revenga de Campos",Spain
http://example.com/heritage/id/106594305w,Church of Saint Mary,Spain
http://example.com/heritage/id/106594703w,Church of San Martin,Spain
http://example.com/heritage/id/106594820w,"House at P-980 Road, Villarmentero de Campos",Spain
http://example.com/heritage/id/106595017w,Communal granary of Villalcázar de Sirga,Spain
http://example.com/heritage/id/106595076w,City Hall of Villalcázar de Sirga,Spain
http://example.com/heritage/id/106599145w,"Shrine of the Holy Christ, Villalcázar de Sirga",Spain
http://example.com/heritage/id/106599146w,Hermitage Virgen del Rio,Spain
http://example.com/heritage/id/106599393w,Church of Saint James the Great,Spain
http://example.com/heritage/id/106600473w,"Building at 4 La Rúa street, Carrión de los Condes",Spain
http://example.com/heritage/id/106600687w,Church of Saint Andrew,Spain
http://example.com/heritage/id/106600802w,Hermitage of La Piedad,Spain
http://example.com/heritage/id/106602216w,Church of Saint Julian,Spain
http://example.com/heritage/id/106602317w,Chapel of San Juan de Cestillos,Spain
http://example.com/heritage/id/106602318w,Hermitage of the Nazarenes,Spain
http://example.com/heritage/id/106602320w,Church of Saint Francis,Spain
http://example.com/heritage/id/106602678w,Convent of Carmelitas Order,Spain
http://example.com/heritage/id/106602719w,Church of Saint James,Spain
http://example.com/heritage/id/106602760w,City Hall of Carrión de los Condes,Spain
http://example.com/heritage/id/106602893w,Church of Saint Cristovo,Spain
