name,cname
Aberfeldy Footbridge,United Kingdom
Rugby Flyover,United Kingdom
Cilcewydd Railway Bridge,United Kingdom
Frodsham Bridge 5,United Kingdom
Crewgreen Bridge,United Kingdom
Worcester Railway Bridge,United Kingdom
Murrayfield Stadium,United Kingdom
Channel Tunnel,United Kingdom
Great Wheel,United Kingdom
Camden Town tube station,United Kingdom
Canary Wharf,United Kingdom
Canary Wharf tube station,United Kingdom
Canning Town,United Kingdom
Canons Park tube station,United Kingdom
Cardiff Castle,United Kingdom
second Tyne vehicle tunnel,United Kingdom
Forthside Bridge,United Kingdom
Selhurst Park,United Kingdom
Carlton House Terrace,United Kingdom
Chatsworth House,United Kingdom
Chertsey Bridge,United Kingdom
Blackwall Tunnel (eastern),United Kingdom
Blackwall Tunnel (western),United Kingdom
Chiswick Park tube station,United Kingdom
Christ Church Greyfriars,United Kingdom
Connaught Bridge,United Kingdom
City Hall,United Kingdom
Clapham Common tube station,United Kingdom
Clapham North tube station,United Kingdom
Clapham South tube station,United Kingdom
Golden Jubilee Bridges,United Kingdom
Craigavon Bridge,United Kingdom
Colindale tube station,United Kingdom
Kent Messenger Millennium Bridge,United Kingdom
Hythe Pier,United Kingdom
Creagan railway bridge,United Kingdom
Rochester Castle,United Kingdom
Trinity Bridge,United Kingdom
Hunter Bridge,United Kingdom
Fotheringham Bridge,United Kingdom
Lambeth Bridge,United Kingdom
Scarborough Rail Bridge,United Kingdom
"Willis Building, Ipswich",United Kingdom
Sneinton Tunnel,United Kingdom
Westminster tube station,United Kingdom
Butterfly Bridge,United Kingdom
Shanks Millennium Bridge,United Kingdom
Fron Footbridge,United Kingdom
Friends Bridge,United Kingdom
Cathedral of St John the Evangelist,United Kingdom
Leicester Cathedral,United Kingdom
Coventry Cathedral,United Kingdom
St Chad's Cathedral,United Kingdom
Fort Augustus Swing Bridge,United Kingdom
Craigellachie Bridge,United Kingdom
Mersey Railway Tunnel,United Kingdom
Fort Saint George Footbridge,United Kingdom
Naburn Railway Bridge,United Kingdom
Humber Bridge,United Kingdom
St Thomas' Hospital,United Kingdom
St Peter's Cathedral,United Kingdom
Cutty Sark,United Kingdom
Tottenham Court Road,United Kingdom
Forton Lake Millennium Bridge,United Kingdom
Dagenham East tube station,United Kingdom
Dagenham Heathway tube station,United Kingdom
Clywedog Dam,United Kingdom
Middlesex Guildhall,United Kingdom
Dartford Cable Tunnel,United Kingdom
Brixton tube station,United Kingdom
London Bridge tube station,United Kingdom
Culloden Viaduct,United Kingdom
His Majesty's Theatre,United Kingdom
Shakkin' Briggie,United Kingdom
Thames Tunnel,United Kingdom
Meadow Lane,United Kingdom
Hatton Cross tube station,United Kingdom
Grain Power Station,United Kingdom
Jesmond,United Kingdom
Kingsland Bridge,United Kingdom
Netherton Tunnel Branch Canal,United Kingdom
Queen Elizabeth II Bridge,United Kingdom
Queen's Bridge,United Kingdom
Devons Road,United Kingdom
Shepherd's Bush tube station,United Kingdom
Carrow Road,United Kingdom
Divis Tower,United Kingdom
Farnborough Airport,United Kingdom
Dollis Hill tube station,United Kingdom
Kingsgate Bridge,United Kingdom
Peterborough Cathedral,United Kingdom
East Ham tube station,United Kingdom
North Ealing tube station,United Kingdom
Ealing Common tube station,United Kingdom
Earl's Court tube station,United Kingdom
East Acton tube station,United Kingdom
East Finchley tube station,United Kingdom
East Putney tube station,United Kingdom
Eastcote tube station,United Kingdom
Hyde Park Corner tube station,United Kingdom
Severn Tunnel,United Kingdom
Wembley Stadium,United Kingdom
Second Severn Crossing,United Kingdom
Finchley Road tube station,United Kingdom
London and Birmingham Railway,United Kingdom
London Bridge,United Kingdom
Hanger Lane tube station,United Kingdom
Hendon Central tube station,United Kingdom
Waterloo tube station,United Kingdom
Roche Abbey,United Kingdom
Northolt tube station,United Kingdom
Alnwick Castle,United Kingdom
National Museum Cardiff,United Kingdom
Southwark Bridge,United Kingdom
Angel of the North,United Kingdom
Plaistow tube station,United Kingdom
Tynecastle Park,United Kingdom
Tower 42,United Kingdom
Elm Park tube station,United Kingdom
Elverson Road,United Kingdom
London cable car,United Kingdom
Ribblehead Viaduct,United Kingdom
Jedburgh Abbey,United Kingdom
Somerset House,United Kingdom
Edgware Road tube station,United Kingdom
Cardiff Metropolitan Cathedral,United Kingdom
Moulsford Railway Bridge,United Kingdom
Twin Sails Bridge,United Kingdom
Ibrahim-al-Ibrahim Mosque,United Kingdom
Northampton Cathedral,United Kingdom
West Acton tube station,United Kingdom
Warren Street tube station,United Kingdom
Euston Square tube station,United Kingdom
Russell Square tube station,United Kingdom
Euston tube station,United Kingdom
National Lift Tower,United Kingdom
25 Bank Street,United Kingdom
40 Bank Street,United Kingdom
10 Upper Bank Street,United Kingdom
One Churchill Place,United Kingdom
10 Holloway Circus,United Kingdom
Imperial War Museum North,United Kingdom
Fairlop tube station,United Kingdom
B of the Bang,United Kingdom
Garron Bridge,United Kingdom
Ladbroke Grove tube station,United Kingdom
Finchley Central tube station,United Kingdom
Kirkstall Abbey,United Kingdom
Pembroke Castle,United Kingdom
Tooting Bec,United Kingdom
"Temple Church, London",United Kingdom
Temple tube station,United Kingdom
Gloucester Road tube station,United Kingdom
Tottenham Court Road station,United Kingdom
Holborn tube station,United Kingdom
Hungerford Bridge and Golden Jubilee Bridges,United Kingdom
Hounslow Central tube station,United Kingdom
Rotherhithe Tunnel,United Kingdom
Wynch Bridge,United Kingdom
South Quay DLR station,United Kingdom
Heron Quays,United Kingdom
Lyne Viaduct,United Kingdom
Fledborough Viaduct,United Kingdom
Leeds railway station,United Kingdom
Royal Liver Building,United Kingdom
Liverpool Metropolitan Cathedral,United Kingdom
Fulham Railway Bridge,United Kingdom
Fulham Broadway tube station,United Kingdom
Pimlico tube station,United Kingdom
Tower Hill tube station,United Kingdom
Selfridges,United Kingdom
Mansion House tube station,United Kingdom
Elephant & Castle tube station,United Kingdom
Bodie Creek Suspension Bridge,United Kingdom
Warwick Avenue tube station,United Kingdom
Alperton tube station,United Kingdom
Great Northern Tower,United Kingdom
Gatwick Airport railway station,United Kingdom
Kingston Railway Bridge,United Kingdom
Wandsworth Bridge,United Kingdom
"Renfrew, Greenock Road, Inchinnan Bridge",United Kingdom
Pharos Lighthouse,United Kingdom
Hythe Bridge Street,United Kingdom
Keightley Way,United Kingdom
Wellington Suspension Bridge,United Kingdom
"Liverpool, London and Globe Building",United Kingdom
National Cycling Centre,United Kingdom
North Hessary Tor transmitting station,United Kingdom
Poplar,United Kingdom
South Gare Lighthouse,United Kingdom
Hampton Court Bridge,United Kingdom
Nottingham Cathedral,United Kingdom
Griffin Park,United Kingdom
St Giles' Cathedral,United Kingdom
Grosvenor Bridge,United Kingdom
Stockwell tube station,United Kingdom
Manor House tube station,United Kingdom
Lambeth North tube station,United Kingdom
Wolf Rock Lighthouse,United Kingdom
Queensbury tube station,United Kingdom
Jewel Tower,United Kingdom
Hainault tube station,United Kingdom
Royal Albert Bridge,United Kingdom
Cromwell Tower,United Kingdom
Shakespeare Tower,United Kingdom
Lauderdale Tower,United Kingdom
Newport Transporter Bridge,United Kingdom
Hammersmith Bridge,United Kingdom
Hampstead tube station,United Kingdom
Harecastle Tunnel,United Kingdom
Kidwelly Castle,United Kingdom
Pontcysyllte Aqueduct,United Kingdom
Heathrow Terminal 4 tube station,United Kingdom
"St. Nicholas Church, Chiswick",United Kingdom
Radcliffe Camera,United Kingdom
London Eye,United Kingdom
High Level Bridge,United Kingdom
Clifton Suspension Bridge,United Kingdom
Queen Elizabeth Hall,United Kingdom
Holloway Road tube station,United Kingdom
Hornchurch tube station,United Kingdom
Drax power station,United Kingdom
Worcester Cathedral,United Kingdom
Hounslow East tube station,United Kingdom
Emirates Stadium,United Kingdom
Upton Park tube station,United Kingdom
Perivale tube station,United Kingdom
Clayton J. Lloyd International Airport,United Kingdom
Lyceum Theatre,United Kingdom
Park Royal tube station,United Kingdom
Mill Hill East tube station,United Kingdom
Tickford Bridge,United Kingdom
Inveraray Castle,United Kingdom
Dryburgh Abbey Bridge,United Kingdom
Cardinal Telephone Exchange,United Kingdom
Bideford Long Bridge,United Kingdom
Lune Millennium Bridge,United Kingdom
"North Bridge, Halifax",United Kingdom
Ruislip Gardens tube station,United Kingdom
London Stadium,United Kingdom
Leyton tube station,United Kingdom
Leeds Cathedral,United Kingdom
Christ Church Cathedral,United Kingdom
St Paul's Cathedral,United Kingdom
Kennington tube station,United Kingdom
Droitwich Transmitting Station,United Kingdom
Kew Railway Bridge,United Kingdom
King George V,United Kingdom
Kingsbury tube station,United Kingdom
Kingston Bridge,United Kingdom
Church of St Thomas of Canterbury,United Kingdom
The Palladian Bridge,United Kingdom
Twizel Bridge,United Kingdom
Weetwood Bridge,United Kingdom
The Lion Bridge,United Kingdom
Longdon-Upon-Tern aqueduct,United Kingdom
Church of the Assumption of Our Lady,United Kingdom
Arch of Remembrance,United Kingdom
Villa Park,United Kingdom
Whorlton Bridge,United Kingdom
Durham Viaduct,United Kingdom
